hub,destination,miles,seats/flight,flights/week
ORD,LGA,732.0,148.0,94.0
ORD,BOS,865.0,163.0,50.0
ORD,MSP,333.0,143.0,51.0
ORD,LAS,1512.0,174.0,41.0
ORD,PHX,1439.0,179.0,34.0
ORD,DFW,802.0,142.0,33.0
ORD,ATL,607.0,136.0,32.0
ORD,DCA,610.0,133.0,63.0
ORD,SEA,1717.0,166.0,35.0
ORD,DTW,233.0,80.0,41.0
ORD,YYZ,435.0,112.0,46.0
ORD,BNA,409.0,115.0,34.0
ORD,MCO,1007.0,186.0,35.0
ORD,PHL,676.0,161.0,32.0
ORD,CLT,599.0,140.0,24.0
ORD,STL,257.0,70.0,46.0
ORD,MIA,1200.0,167.0,14.0
ORD,IND,177.0,71.0,43.0
ORD,GRR,136.0,75.0,39.0
ORD,CLE,315.0,142.0,38.0
ORD,MCI,402.0,141.0,34.0
ORD,MKE,66.0,54.0,36.0
ORD,CVG,264.0,90.0,34.0
ORD,CMH,295.0,105.0,34.0
ORD,AUS,979.0,147.0,26.0
ORD,MSN,108.0,79.0,33.0
ORD,SDF,286.0,64.0,33.0
ORD,ATW,160.0,54.0,32.0
ORD,FLL,1185.0,178.0,20.0
ORD,SAN,1722.0,166.0,33.0
ORD,SLC,1247.0,142.0,20.0
ORD,OMA,415.0,127.0,27.0
ORD,PIT,410.0,109.0,32.0
ORD,PDX,1736.0,158.0,33.0
ORD,TPA,1014.0,167.0,20.0
ORD,RDU,646.0,148.0,24.0
ORD,BWI,620.0,155.0,21.0
ORD,CID,195.0,90.0,23.0
ORD,RSW,1123.0,170.0,20.0
ORD,TVC,223.0,81.0,21.0
ORD,TYS,475.0,63.0,26.0
ORD,BUF,472.0,112.0,27.0
ORD,SNA,1724.0,145.0,26.0
ORD,DAY,239.0,64.0,24.0
ORD,FSD,461.0,84.0,20.0
ORD,LEX,323.0,51.0,26.0
ORD,DSM,298.0,101.0,25.0
ORD,GRB,173.0,56.0,23.0
ORD,MLI,139.0,60.0,23.0
ORD,MEM,492.0,85.0,26.0
ORD,OKC,692.0,82.0,21.0
ORD,PIA,129.0,50.0,19.0
ORD,RIC,641.0,88.0,20.0
ORD,SGF,438.0,50.0,17.0
