destination,hub,flights/week,seats/flight,miles
LGA,ORD,93,147,732
BOS,ORD,50,161,865
MSP,ORD,51,142,333
LAS,ORD,40,176,1512
PHX,ORD,33,178,1439
DFW,ORD,33,135,802
ATL,ORD,32,135,607
DCA,ORD,62,134,610
SEA,ORD,35,169,1717
DTW,ORD,40,79,233
YYZ,ORD,45,106,435
BNA,ORD,34,111,409
MCO,ORD,34,184,1007
PHL,ORD,32,158,676
CLT,ORD,24,133,599
STL,ORD,46,73,257
MIA,ORD,13,167,1200
IND,ORD,43,73,177
GRR,ORD,38,76,136
CLE,ORD,38,140,315
MCI,ORD,34,133,402
MKE,ORD,37,55,66
CVG,ORD,34,92,264
CMH,ORD,34,102,295
AUS,ORD,26,150,979
MSN,ORD,33,79,108
SDF,ORD,33,63,286
ATW,ORD,32,54,160
FLL,ORD,19,178,1185
SAN,ORD,34,166,1722
SLC,ORD,19,143,1247
OMA,ORD,27,124,415
PIT,ORD,32,112,410
PDX,ORD,33,161,1736
TPA,ORD,20,166,1014
RDU,ORD,24,141,646
BWI,ORD,20,148,620
CID,ORD,23,89,195
RSW,ORD,20,170,1123
TVC,ORD,21,85,223
TYS,ORD,27,63,475
BUF,ORD,27,109,472
SNA,ORD,26,140,1724
DAY,ORD,24,63,239
FSD,ORD,20,85,461
LEX,ORD,25,52,323
DSM,ORD,25,102,298
GRB,ORD,22,57,173
MLI,ORD,23,60,139
MEM,ORD,27,84,492
OKC,ORD,20,79,692
PIA,ORD,19,50,129
RIC,ORD,20,85,641
SGF,ORD,19,50,438
TUL,ORD,19,67,585
BDL,ORD,20,151,781
FWA,ORD,18,50,155
YUL,ORD,19,75,746
ICT,ORD,19,57,587
LIT,ORD,17,57,553
MDT,ORD,18,96,592
ROC,ORD,19,123,527
MSY,ORD,20,101,839
SYR,ORD,18,88,605
ALB,ORD,19,139,721
XNA,ORD,18,86,522
FAR,ORD,17,60,556
SBN,ORD,33,50,83
ANC,ORD,14,175,2842
IAD,ORD,34,167,587
JAX,ORD,21,95,865
GSO,ORD,14,79,589
BHM,ORD,17,50,585
CHS,ORD,18,111,761
GSP,ORD,16,72,577
SAT,ORD,14,142,1044
SMF,ORD,20,163,1778
AVP,ORD,14,50,630
FNT,ORD,13,50,222
PVD,ORD,14,74,847
AVL,ORD,18,68,536
SAV,ORD,20,104,774
MBS,ORD,19,50,221
ORF,ORD,15,152,715
SCE,ORD,19,50,527
CAE,ORD,14,75,667
CAK,ORD,18,50,342
CHA,ORD,20,57,501
CHO,ORD,14,76,565
CRW,ORD,18,50,415
DLH,ORD,19,52,397
HSV,ORD,13,50,511
LNK,ORD,20,65,465
PWM,ORD,13,120,898
MYR,ORD,8,126,753
MCW,ORD,4,50,287
PBI,ORD,,179,
ROA,ORD,14,70,530
TUS,ORD,,126,
YVR,ORD,13,162,1761
YYC,ORD,14,124,1383
YOW,ORD,14,73,653
YQB,ORD,7,75,879
ABE,ORD,13,50,653
ABQ,ORD,7,139,1117
ASE,ORD,13,70,1011
BOI,ORD,14,99,1435
BTV,ORD,14,128,761
CMX,ORD,13,50,359
COS,ORD,14,79,909
ELP,ORD,7,75,1236
JAC,ORD,13,120,1160
PNS,ORD,8,125,796
SJC,ORD,11,139,1827
BZN,ORD,12,163,1183
DEC,ORD,11,50,156
FAT,ORD,7,132,1728
SRQ,ORD,8,147,1052
ECP,ORD,7,86,812
HDN,ORD,,,
JST,ORD,6,50,486
MSO,ORD,7,131,1330
MTJ,ORD,7,76,1079
PSP,ORD,,166,
RAP,ORD,7,166,778
RNO,ORD,7,135,1669
SLN,ORD,4,50,558
SUX,ORD,6,50,435
YWG,ORD,7,76,707
HYS,ORD,,,
BGR,ORD,7,75,976
FAI,ORD,7,158,2781
FCA,ORD,7,125,1349
GEG,ORD,7,76,1495
HNL,ORD,7,318,4242
EYW,ORD,,,
FOD,ORD,6,50,323
EGE,ORD,2,120,1006
ACK,ORD,2,74,922
ILM,ORD,2,69,760
SUN,ORD,2,70,1339
HHH,ORD,1,74,782
KOA,ORD,,,
OGG,ORD,1,243,4183
GTF,ORD,1,76,1208
HRL,ORD,,,
